maquina,grupos,process,estado
\SPRMY01,DRIVERS.IBM,$DST79,UP
\SPRMY01,DRIVERS.TIBCO,$DT114,UP
\SPRMY01,DRIVERS.TIBCO,$DT115,UP
\SPRMY01,DRIVERS.TIBCO,$DT117,UP
\SPRMY01,DRIVERS.TIBCO,$DT118,UP
\SPRMY01,DRIVERS.TIBCO,$DT129,UP
\SPRMY01,DRIVERS.TIBCO,$DT166,UP
\SPRMY01,DRIVERS.MONBETA,$DX14,UP
\SPRMY01,DRIVERS.MONBETA,$DX15,UP
\SPRMY01,DRIVERS.MONBETA,$DX16,UP
\SPRMY01,DRIVERS.MONBETA,$DX17,UP
\SPRMY01,DRIVERS.VDMALFA,$DX20,UP
\SPRMY01,DRIVERS.MONBETA,$DX24,UP
\SPRMY01,DRIVERS.VDMALFA,$DX25,UP
\SPRMY01,DRIVERS.VDMALFA,$DX27,UP
\SPRMY01,DRIVERS.MONBETA,$DX28,UP
\SPRMY01,DRIVERS.VDMALFA,$DX31,UP
\SPRMY01,DRIVERS.VDMALFA,$DX34,UP
\SPRMY01,DRIVERS.VDMALFA,$DX35,UP
\SPRMY01,DRIVERS.VDMALFA,$DX36,UP
\SPRMY01,DRIVERS.VDMALFA,$DX37,UP
\SPRMY01,DRIVERS.VDMALFA,$DX38,UP
\SPRMY01,DRIVERS.VDMALFA,$DX39,UP
\SPRMY01,DRIVERS.VDMALFA,$DX40,UP
\SPRMY01,DRIVERS.VDMALFA,$DX44,UP
\SPRMY01,Drivers.MONBETA,$DX49,UP
\SPRMY01,Drivers.MONBETA,$DX50,UP
\SPRMY01,DRIVERS.VDMALFA,$DX63,UP
\SPRMY01,DRIVERS.VDMALFA,$DX64,UP
\SPRMY01,DRIVERS.VDMALFA,$DX67,UP
\SPRMY01,DRIVERS.VDMALFA,$DX68,UP
\SPRMY01,DRIVERS.MONBETA,$DX77,UP
\SPRMY01,DRIVERS.MONBETA,$DX78,UP
\SPRMY01,SPOOLER,$EDO,UP
\SPRMY01,SPOOLER,$EDO1,UP
\SPRMY01,S284_010.ICA,$F1Y1,UP
\SPRMY01,S284_010.ICA,$F1Z1,UP
\SPRMY01,S753-FILTRODF.$PWM2,$FR2A,UP
\SPRMY01,TCPIP.FTP,$FTC,UP
\SPRMY01,TCPIP.SECURE,$FTPS1,UP
\SPRMY01,TCPIP.SECURE,$FTPS2,UP
\SPRMY01,TCPIP.SECURE,$FTPSC,UP
\SPRMY01,TCPIP.FTP,$FTS,UP
\SPRMY01,TCPIP.FTP,$FTS1,UP
\SPRMY01,TCPIP.FTP,$FTS2,UP
\SPRMY01,TCPIP.FTP,$FTS3,UP
\SPRMY01,TCPIP.FTP,$FTS4,UP
\SPRMY01,TCPIP.FTP,$FTS5,UP
\SPRMY01,TCPIP.FTP,$FTS6,UP
\SPRMY01,TCPIP.FTP,$FTS7,UP
\SPRMY01,TCPIP.FTP,$FTS8,UP
\SPRMY01,TCPIP.FTP,$FTS9,UP
\SPRMY01,GGS.Manager,$GGMGR,UP
\SPRMY01,GGS.Manager,$GGMGX,UP
\SPRMY01,ISA,$GSYS,UP
\SPRMY01,ISA,$GSYT,UP
\SPRMY01,Drivers.MONBETA,$H101,UP
\SPRMY01,Drivers.MONBETA,$H102,UP
\SPRMY01,Drivers.MONBETA,$H104,UP
\SPRMY01,Drivers.MONBETA,$H105,UP
\SPRMY01,SO,$IMON,UP
\SPRMY01,S130.HORARIO03,$MDEH,UP
\SPRMY01,SPOOLER,$MIC,UP
\SPRMY01,SPOOLER,$MICR,UP
\SPRMY01,DRIVERS.UNISYS,$MPTE,UP
\SPRMY01,PATHWAY,$MQBI,UP
\SPRMY01,PATHWAY,$MQTC,UP
\SPRMY01,PATHWAY,$NB11,UP
\SPRMY01,PATHWAY,$NB13,UP
\SPRMY01,PATHWAY,$NB15,UP
\SPRMY01,PATHWAY,$NBP1,UP
\SPRMY01,PATHWAY,$NBP2,UP
\SPRMY01,PATHWAY,$NBP8,UP
\SPRMY01,NDM,$NDM2,UP
\SPRMY01,PATHWAY,$NPI1,UP
\SPRMY01,ODBC.HORARIO,$NSOAD,UP
\SPRMY01,SO,$NULL,UP
\SPRMY01,DRIVERS.UNISYS,$OCSI,UP
\SPRMY01,S236.HORARIO,$OS04,UP
\SPRMY01,PATHWAY,$P130,UP
\SPRMY01,DRIVERS.B24POS.SWA,$P248,UP
\SPRMY01,PATHWAY,$P270,UP
\SPRMY01,PATHWAY,$PA11,UP
\SPRMY01,PATHWAY,$PA13,UP
\SPRMY01,PATHWAY,$PA14,UP
\SPRMY01,PATHWAY,$PA15,UP
\SPRMY01,PATHWAY,$PB11,UP
\SPRMY01,PATHWAY,$PB13,UP
\SPRMY01,PATHWAY,$PB14,UP
\SPRMY01,PATHWAY,$PB15,UP
\SPRMY01,S130.HORARIO01,$PCDA,UP
\SPRMY01,PATHWAY.HORARIO,$PG1,UP
\SPRMY01,PATHWAY,$PHT2,UP
\SPRMY01,PATHWAY,$PICA,UP
\SPRMY01,PATHWAY,$PINF,UP
\SPRMY01,RSC,$PIPE,UP
\SPRMY01,PATHWAY,$PL01,UP
\SPRMY01,PATHWAY,$PL02,UP
\SPRMY01,PATHWAY,$PL06,UP
\SPRMY01,PATHWAY,$PL08,UP
\SPRMY01,PATHWAY,$PL11,UP
\SPRMY01,PATHWAY,$PL12,UP
\SPRMY01,PATHWAY,$PL13,UP
\SPRMY01,PATHWAY,$PL14,UP
\SPRMY01,PATHWAY,$PL15,UP
\SPRMY01,PATHWAY,$PL16,UP
\SPRMY01,PATHWAY,$PL18,UP
\SPRMY01,PATHWAY,$PNB4,UP
\SPRMY01,PATHWAY,$PNB5,UP
\SPRMY01,PATHWAY,$PNB9,UP
\SPRMY01,PATHWAY,$PNBN,UP
\SPRMY01,PATHWAY,$PNBP,UP
\SPRMY01,PATHWAY,$PTUX,UP
\SPRMY01,PATHWAY,$PWFA,UP
\SPRMY01,PATHWAY,$PWM0,UP
\SPRMY01,PATHWAY,$PWM1,UP
\SPRMY01,PATHWAY,$PWM2,UP
\SPRMY01,PATHWAY,$PWM3,UP
\SPRMY01,PATHWAY,$PWM4,UP
\SPRMY01,DRIVERS.B24POS.SWA,$PX28,UP
\SPRMY01,DRIVERS.B24POS.SWA,$PX48,UP
